"iso"	"lang"	"dialect"	"genetics"	"vowel"	"f1"	"f2"	"f3"
"bdu"	"Oroko"	"Londo"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong"	"e"	344	1800	NA
"bdu"	"Oroko"	"Londo"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong"	"ɛ"	477	1613	NA
"bdu"	"Oroko"	"Londo"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong"	"a"	668	1393	NA
"bdu"	"Oroko"	"Londo"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong"	"ɔ"	530	1086	NA
"bdu"	"Oroko"	"Londo"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong"	"o"	360	936	NA
"bdu"	"Oroko"	"Londo"	"NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong"	"u"	323	1038	NA
"ben"	"Bengali"	"Calcutta"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"i"	275	1975	2625
"ben"	"Bengali"	"Calcutta"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"e"	350	1850	2450
"ben"	"Bengali"	"Calcutta"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"æ"	525	1850	2225
"ben"	"Bengali"	"Calcutta"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"a"	637	1237	2212
"ben"	"Bengali"	"Calcutta"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"ɔ"	475	1025	2300
"ben"	"Bengali"	"Calcutta"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"o"	400	862	2250
"ben"	"Bengali"	"Calcutta"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"u"	300	900	NA
"ben"	"Bengali"	"Bangladesh"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"i"	357	2059	2690
"ben"	"Bengali"	"Bangladesh"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"e"	481	1807	2451
"ben"	"Bengali"	"Bangladesh"	"IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese"	"æ"	599	1619	2364
